
> data-vis@1.0.0 as1 /Users/saman/Projects/GitHub/data-vis
> node ./assignment-1/main.js

125 1305 46 410
125 1343 48 384
125 1381 49 355
125 1417 48 326
125 1452 47 297
125 1486 44 269
125 1520 41 242
125 1551 37 217
125 1582 33 195
125 1612 28 175
125 1640 22 159
125 1667 15 146
125 1693 7 138
125 1717 -2 133
125 1741 -14 132
125 1763 -29 135
125 1784 -48 143
125 1804 -71 155
125 1823 -99 170
125 1841 -130 188
125 1858 -162 206
125 1874 -191 223
125 1889 -210 234
125 1903 -206 235
125 1916 -159 222
125 1928 -46 192
125 1940 157 148
125 1951 460 98
125 1961 840 54
125 1971 1241 23
125 1980 1591 7
125 1988 1841 1
125 1996 1968 0
125 2000 2000 0
141 0 0 0
141 3 0 -0
141 11 0 -0
141 19 0 -0
141 28 1 -0
141 38 2 -0
141 48 3 -0
141 59 4 -0
141 71 5 -1
141 83 6 -2
141 96 6 -3
141 110 6 -4
141 125 6 -4
141 141 5 -5
141 158 4 -6
141 176 2 -6
141 195 -0 -5
141 215 -3 -3
141 236 -7 -0
141 258 -12 5
141 282 -18 12
141 306 -24 22
141 332 -31 35
141 359 -39 51
141 387 -47 70
141 417 -54 93
141 448 -61 119
141 479 -68 148
141 513 -73 180
141 547 -77 214
141 582 -79 250
141 618 -79 287
141 656 -77 324
141 694 -73 360
141 733 -68 394
141 773 -60 427
141 813 -52 456
141 854 -42 482
141 895 -32 504
141 937 -21 522
141 979 -9 535
141 1020 1 544
141 1062 12 547
141 1104 22 546
141 1145 31 539
141 1186 40 528
141 1226 47 512
141 1266 54 492
141 1305 58 468
141 1343 61 442
141 1381 63 413
141 1417 63 383
141 1452 62 352
141 1486 59 322
141 1520 56 292
141 1551 51 264
141 1582 45 239
141 1612 39 216
141 1640 31 197
141 1667 23 181
141 1693 12 170
141 1717 0 162
141 1741 -14 158
141 1763 -32 158
141 1784 -54 163
141 1804 -80 170
141 1823 -110 180
141 1841 -143 191
141 1858 -176 203
141 1874 -203 212
141 1889 -214 215
141 1903 -195 209
141 1916 -126 190
141 1928 13 159
141 1940 240 119
141 1951 556 76
141 1961 929 41
141 1971 1307 17
141 1980 1629 5
141 1988 1855 0
141 1996 1971 0
141 2000 2000 0
158 0 0 0
158 3 0 -0
158 11 0 -0
158 19 1 -0
158 28 1 -0
158 38 3 -0
158 48 4 -0
158 59 5 -0
158 71 6 -1
158 83 7 -1
158 96 7 -2
158 110 7 -3
158 125 7 -4
158 141 6 -4
158 158 4 -4
158 176 1 -4
158 195 -1 -2
158 215 -5 0
158 236 -11 4
158 258 -17 10
158 282 -24 19
158 306 -33 31
158 332 -41 45
158 359 -51 63
158 387 -60 84
158 417 -70 109
158 448 -78 138
158 479 -86 169
158 513 -92 203
158 547 -96 239
158 582 -99 277
158 618 -99 315
158 656 -96 353
158 694 -92 390
158 733 -85 426
158 773 -76 460
158 813 -66 490
158 854 -54 517
158 895 -42 540
158 937 -29 559
158 979 -15 574
158 1020 -2 584
158 1062 11 589
158 1104 23 590
158 1145 35 585
158 1186 46 576
158 1226 56 563
158 1266 64 545
158 1305 71 523
158 1343 75 498
158 1381 78 470
158 1417 80 440
158 1452 79 408
158 1486 76 376
158 1520 72 345
158 1551 67 315
158 1582 60 287
158 1612 53 261
158 1640 43 239
158 1667 33 220
158 1693 20 205
158 1717 5 194
158 1741 -11 187
